id,title,community,years,housetype,square,floor,taxtype,totalPrice,unitPrice,followInfo
64,北京大学南门 海淀路小区 双南朝向 楼层好,海淀路小区,低楼层(共6层)1990年建板楼,2室1厅,50.4平米,低楼层(共6层)1990年建板楼,房本满两年,488,96826,241人关注 / 共13次带看 / 一年前发布
65,双旗杆东里 电梯中间层 西南两居室诚心出售房主自荐,双旗杆东里,中楼层(共18层)1994年建塔楼,2室1厅,69.5平米,中楼层(共18层)1994年建塔楼,距离8号线安华桥站902米房本满五年,798,114821,88人关注 / 共37次带看 / 一年前发布
66,十里堡地铁口  南北三居室  板楼低密度社区  诚售,八里庄新区,顶层(共6层)1999年建板楼,3室2厅,125.62平米,顶层(共6层)1999年建板楼,距离6号线十里堡站771米,850,67665,111人关注 / 共0次带看 / 一年前发布
67,管庄西里南北大户型正规两居 满五年房主自荐,管庄西里,顶层(共6层)2000年建板楼,2室1厅,103.37平米,顶层(共6层)2000年建板楼,房本满五年,440,42566,91人关注 / 共31次带看 / 一年前发布
68,高层观景两居室，视野好，二次装修！房主自荐,公园大道,中楼层(共31层)2004年建板塔结合,2室2厅,145.84平米,中楼层(共31层)2004年建板塔结合,距离14号线(东段)朝阳公园站705米房本满五年,1580,108338,80人关注 / 共65次带看 / 一年前发布
69,安定门，上龙嘉园，南北向3居，2000年楼,上龙嘉园,底层(共14层)1998年建板楼,3室2厅,169.98平米,底层(共14层)1998年建板楼,距离2号线安定门站536米房本满五年,1360,80010,379人关注 / 共50次带看 / 一年前发布
70,前后观景 双明卫设计三居 高层送车位！,华鼎世家三期,中楼层(共14层)2006年建板塔结合,3室2厅,218.95平米,中楼层(共14层)2006年建板塔结合,距离14号线(东段)阜通站671米,1550,70793,95人关注 / 共37次带看 / 一年前发布
71,育新嘉园 1+2层复式  业主诚心出售,育新嘉园,低楼层(共14层)2004年建塔楼,5室2厅,190.46平米,低楼层(共14层)2004年建塔楼,房本满五年,880,46204,99人关注 / 共16次带看 / 一年前发布
72,开间户型，小区配套齐全、看房提前预约房主自荐,育慧里一区,中楼层(共7层)2001年建板楼,1室0厅,52.3平米,中楼层(共7层)2001年建板楼,房本满五年,340,65010,150人关注 / 共29次带看 / 一年前发布
73,东西通透两居室 有钥匙 随时签约房主自荐,太和小区,中楼层(共7层)1995年建板楼,2室1厅,63.59平米,中楼层(共7层)1995年建板楼,距离15号线关庄站1154米随时看房,448,70452,179人关注 / 共117次带看 / 一年前发布
