129,张江路,申城佳苑三期B块,4室1厅,NaN,约10㎡,15楼,NaN,1576
130,张江路,申城佳苑三期B块,4室1厅,距3号线殷高西路站950米,约17㎡,16楼,独立阳台,1906
131,张江路,申城佳苑三期B块,4室1厅,NaN,约19㎡,16楼,独立卫生间独立淋浴,2346
132,张江路,申城佳苑三期B块,4室1厅,距10号线龙柏新村站1000米,约12㎡,16楼,NaN,1646
133,上海西站,万里真欣园,4室1厅,NaN,约25㎡,2楼,独立阳台,2706
134,东兰路,欧风花都,5室1厅,距13号线张江路站1300米,约25㎡,4楼,独立卫生间独立淋浴,2400
135,北蔡,鹏裕苑,4室1厅,NaN,约11㎡,16楼,NaN,1090
136,上海游泳馆,明佳苑,3室1厅,距13号线张江路站1300米,约21㎡,6楼,NaN,2500
137,张江路,申城佳苑三期B块,4室1厅,NaN,约9㎡,9楼,NaN,1506
138,张江路,申城佳苑三期B块,4室1厅,距13号线张江路站1300米,约11㎡,9楼,NaN,1576
139,张江路,申城佳苑三期B块,4室1厅,NaN,约20㎡,9楼,独立卫生间独立淋浴,2306
140,金海路,丰舍东苑,3室1厅,距13号线张江路站1300米,约15㎡,5楼,NaN,1330
141,沈杜公路,滨浦新苑八村,4室1厅,NaN,约22㎡,10楼,独立卫生间独立淋浴自采暖,1360
142,沈杜公路,滨浦新苑八村,4室1厅,距8号线沈杜公路站1650米,约17㎡,10楼,自采暖,960
143,张江路,申城佳苑三期B块,2室1厅,NaN,约14㎡,12楼,独立阳台,2246
144,张江路,申城佳苑三期B块,2室1厅,距8号线沈杜公路站1650米,约13㎡,12楼,NaN,2146
145,张江路,申城佳苑三期B块,4室1厅,NaN,约20㎡,9楼,独立卫生间独立淋浴,2376
146,张江路,申城佳苑三期B块,3室1厅,距13号线张江路站1300米,约13㎡,9楼,NaN,1846
147,张江路,申城佳苑三期B块,3室1厅,NaN,约16㎡,9楼,独立阳台,1976
148,张江路,申城佳苑三期B块,3室1厅,距13号线张江路站1300米,约10㎡,9楼,NaN,1606
149,上海南站,长顺坊,2室1厅,NaN,约10㎡,3楼,NaN,1660
150,上海南站,长顺坊,2室1厅,距13号线张江路站1300米,约19㎡,3楼,独立阳台,2160
151,春申路,春申新村,4室1厅,NaN,约17㎡,4楼,NaN,1976
152,莘庄,莘城公寓,4室1厅,距13号线张江路站1300米,约18㎡,5楼,独立阳台,1530
153,张江路,申城佳苑三期B块,3室1厅,NaN,约13㎡,13楼,NaN,1776
154,张江路,申城佳苑三期B块,3室1厅,距13号线张江路站1300米,约16㎡,13楼,独立阳台,1906
155,张江路,申城佳苑三期B块,3室1厅,NaN,约10㎡,13楼,NaN,1706
